"","Kod","Nazwa","Miasta...wieś","Płeć","Przyczyny.zgonów","Rok","Wartosc","Jednostka.miary","Atrybut","X"
"51",0,"POLSKA","ogółem","mężczyźni","choroby układu nerwowego i narządów zmysłów",2024,19.34,"-",NA,NA
"52",0,"POLSKA","ogółem","mężczyźni","choroba Alzheimera",2024,4.85,"-",NA,NA
"53",0,"POLSKA","ogółem","mężczyźni","choroby układu krążenia",2024,377.77,"-",NA,NA
"54",0,"POLSKA","ogółem","mężczyźni","choroba nadciśnieniowa",2024,26.36,"-",NA,NA
"55",0,"POLSKA","ogółem","mężczyźni","choroba niedokrwienna serca",2024,170.47,"-",NA,NA
"56",0,"POLSKA","ogółem","mężczyźni","ostry zawał serca",2024,34.64,"-",NA,NA
"57",0,"POLSKA","ogółem","mężczyźni","choroby naczyń mózgowych",2024,70.09,"-",NA,NA
"58",0,"POLSKA","ogółem","mężczyźni","miażdżyca",2024,26.21,"-",NA,NA
"59",0,"POLSKA","ogółem","mężczyźni","choroby układu oddechowego",2024,93.3,"-",NA,NA
"60",0,"POLSKA","ogółem","mężczyźni","choroby układu trawiennego",2024,63.8,"-",NA,NA
"61",0,"POLSKA","ogółem","mężczyźni","zwłóknienie i marskość wątroby",2024,5.99,"-",NA,NA
"62",0,"POLSKA","ogółem","mężczyźni","choroby układu moczowo-płciowego",2024,18.69,"-",NA,NA
"63",0,"POLSKA","ogółem","mężczyźni","ciąża, poród i połóg",2024,0,"-",NA,NA
"64",0,"POLSKA","ogółem","mężczyźni","stany rozpoczynające się w okresie okołoporodowym",2024,1.59,"-",NA,NA
"65",0,"POLSKA","ogółem","mężczyźni","wady rozwojowe wrodzone, zniekształcenia i aberracje chromosomowe",2024,1.74,"-",NA,NA
"66",0,"POLSKA","ogółem","mężczyźni","objawy, cechy chorobowe i nieprawidłowe wyniki badań klinicznych i laboratoryjnych",2024,116.81,"-",NA,NA
"67",0,"POLSKA","ogółem","mężczyźni","zewnętrzne przyczyny zgonu",2024,73.36,"-",NA,NA
"68",0,"POLSKA","ogółem","mężczyźni","wypadki komunikacyjne",2024,10.38,"-",NA,NA
"69",0,"POLSKA","ogółem","mężczyźni","samobójstwa",2024,20.74,"-",NA,NA
"70",0,"POLSKA","ogółem","mężczyźni","brak przyczyny zgonu (opisu) w Karcie Statystycznej do Karty Zgonu",2024,2.72,"-",NA,NA
"71",0,"POLSKA","ogółem","kobiety","ogółem",2024,1026.88,"-",NA,NA
"72",0,"POLSKA","ogółem","kobiety","choroby zakaźne i pasożytnicze",2024,5.31,"-",NA,NA
"73",0,"POLSKA","ogółem","kobiety","gruźlica",2024,0.43,"-",NA,NA
"74",0,"POLSKA","ogółem","kobiety","nowotwory",2024,264.94,"-",NA,NA
"75",0,"POLSKA","ogółem","kobiety","nowotwory złośliwe",2024,238.25,"-",NA,NA
"76",0,"POLSKA","ogółem","kobiety","nowotwór złośliwy żołądka",2024,7.99,"-",NA,NA
"77",0,"POLSKA","ogółem","kobiety","nowotwór złośliwy trzustki",2024,13.33,"-",NA,NA
"78",0,"POLSKA","ogółem","kobiety","nowotwór złośliwy tchawicy, oskrzela i płuca",2024,44.09,"-",NA,NA
"79",0,"POLSKA","ogółem","kobiety","nowotwór złośliwy sutka",2024,35.36,"-",NA,NA
"80",0,"POLSKA","ogółem","kobiety","nowotwór złośliwy szyjki macicy",2024,6.77,"-",NA,NA
"81",0,"POLSKA","ogółem","kobiety","nowotwór złośliwy gruczołu krokowego",2024,0,"-",NA,NA
"82",0,"POLSKA","ogółem","kobiety","białaczka",2024,6.41,"-",NA,NA
"83",0,"POLSKA","ogółem","kobiety","zaburzenia wydzielania wewnętrznego, stanu odżywiania i przemiany metabolicznej",2024,26.78,"-",NA,NA
"84",0,"POLSKA","ogółem","kobiety","cukrzyca",2024,25.41,"-",NA,NA
"85",0,"POLSKA","ogółem","kobiety","zaburzenia psychiczne i zaburzenia zachowania",2024,9.15,"-",NA,NA
"86",0,"POLSKA","ogółem","kobiety","choroby układu nerwowego i narządów zmysłów",2024,23.4,"-",NA,NA
"87",0,"POLSKA","ogółem","kobiety","choroba Alzheimera",2024,11.86,"-",NA,NA
"88",0,"POLSKA","ogółem","kobiety","choroby układu krążenia",2024,421.15,"-",NA,NA
"89",0,"POLSKA","ogółem","kobiety","choroba nadciśnieniowa",2024,35.88,"-",NA,NA
"90",0,"POLSKA","ogółem","kobiety","choroba niedokrwienna serca",2024,184.73,"-",NA,NA
"91",0,"POLSKA","ogółem","kobiety","ostry zawał serca",2024,22.29,"-",NA,NA
"92",0,"POLSKA","ogółem","kobiety","choroby naczyń mózgowych",2024,80,"-",NA,NA
"93",0,"POLSKA","ogółem","kobiety","miażdżyca",2024,40.57,"-",NA,NA
"94",0,"POLSKA","ogółem","kobiety","choroby układu oddechowego",2024,76.69,"-",NA,NA
"95",0,"POLSKA","ogółem","kobiety","choroby układu trawiennego",2024,41.54,"-",NA,NA
"96",0,"POLSKA","ogółem","kobiety","zwłóknienie i marskość wątroby",2024,4.13,"-",NA,NA
"97",0,"POLSKA","ogółem","kobiety","choroby układu moczowo-płciowego",2024,22.51,"-",NA,NA
"98",0,"POLSKA","ogółem","kobiety","ciąża, poród i połóg",2024,0.03,"-",NA,NA
"99",0,"POLSKA","ogółem","kobiety","stany rozpoczynające się w okresie okołoporodowym",2024,0.89,"-",NA,NA
"100",0,"POLSKA","ogółem","kobiety","wady rozwojowe wrodzone, zniekształcenia i aberracje chromosomowe",2024,1.51,"-",NA,NA
"101",0,"POLSKA","ogółem","kobiety","objawy, cechy chorobowe i nieprawidłowe wyniki badań klinicznych i laboratoryjnych",2024,93.04,"-",NA,NA
"102",0,"POLSKA","ogółem","kobiety","zewnętrzne przyczyny zgonu",2024,26.88,"-",NA,NA
"103",0,"POLSKA","ogółem","kobiety","wypadki komunikacyjne",2024,2.98,"-",NA,NA
"104",0,"POLSKA","ogółem","kobiety","samobójstwa",2024,3.11,"-",NA,NA
"105",0,"POLSKA","ogółem","kobiety","brak przyczyny zgonu (opisu) w Karcie Statystycznej do Karty Zgonu",2024,2.44,"-",NA,NA
"106",0,"POLSKA","miasto","ogółem","ogółem",2024,1140.49,"-",NA,NA
"107",0,"POLSKA","miasto","ogółem","choroby zakaźne i pasożytnicze",2024,6.19,"-",NA,NA
"108",0,"POLSKA","miasto","ogółem","gruźlica",2024,1.24,"-",NA,NA
"109",0,"POLSKA","miasto","ogółem","nowotwory",2024,319.81,"-",NA,NA
"110",0,"POLSKA","miasto","ogółem","nowotwory złośliwe",2024,289.84,"-",NA,NA
"111",0,"POLSKA","miasto","ogółem","nowotwór złośliwy żołądka",2024,11.87,"-",NA,NA
"112",0,"POLSKA","miasto","ogółem","nowotwór złośliwy trzustki",2024,15.16,"-",NA,NA
"113",0,"POLSKA","miasto","ogółem","nowotwór złośliwy tchawicy, oskrzela i płuca",2024,64.36,"-",NA,NA
"114",0,"POLSKA","miasto","ogółem","nowotwór złośliwy sutka",2024,21.06,"-",NA,NA
"115",0,"POLSKA","miasto","ogółem","nowotwór złośliwy szyjki macicy",2024,4.06,"-",NA,NA
"116",0,"POLSKA","miasto","ogółem","nowotwór złośliwy gruczołu krokowego",2024,16.88,"-",NA,NA
"117",0,"POLSKA","miasto","ogółem","białaczka",2024,7.67,"-",NA,NA
"118",0,"POLSKA","miasto","ogółem","zaburzenia wydzielania wewnętrznego, stanu odżywiania i przemiany metabolicznej",2024,26.29,"-",NA,NA
"119",0,"POLSKA","miasto","ogółem","cukrzyca",2024,24.68,"-",NA,NA
"120",0,"POLSKA","miasto","ogółem","zaburzenia psychiczne i zaburzenia zachowania",2024,13.08,"-",NA,NA
"121",0,"POLSKA","miasto","ogółem","choroby układu nerwowego i narządów zmysłów",2024,23.31,"-",NA,NA
"122",0,"POLSKA","miasto","ogółem","choroba Alzheimera",2024,9.44,"-",NA,NA
"123",0,"POLSKA","miasto","ogółem","choroby układu krążenia",2024,409.09,"-",NA,NA
"124",0,"POLSKA","miasto","ogółem","choroba nadciśnieniowa",2024,30.41,"-",NA,NA
"125",0,"POLSKA","miasto","ogółem","choroba niedokrwienna serca",2024,185.72,"-",NA,NA
"126",0,"POLSKA","miasto","ogółem","ostry zawał serca",2024,30.81,"-",NA,NA
"127",0,"POLSKA","miasto","ogółem","choroby naczyń mózgowych",2024,77.75,"-",NA,NA
"128",0,"POLSKA","miasto","ogółem","miażdżyca",2024,33.2,"-",NA,NA
"129",0,"POLSKA","miasto","ogółem","choroby układu oddechowego",2024,91.9,"-",NA,NA
"130",0,"POLSKA","miasto","ogółem","choroby układu trawiennego",2024,56.35,"-",NA,NA
"131",0,"POLSKA","miasto","ogółem","zwłóknienie i marskość wątroby",2024,5.58,"-",NA,NA
"132",0,"POLSKA","miasto","ogółem","choroby układu moczowo-płciowego",2024,22.12,"-",NA,NA
"133",0,"POLSKA","miasto","ogółem","ciąża, poród i połóg",2024,0.02,"-",NA,NA
"134",0,"POLSKA","miasto","ogółem","stany rozpoczynające się w okresie okołoporodowym",2024,1.29,"-",NA,NA
"135",0,"POLSKA","miasto","ogółem","wady rozwojowe wrodzone, zniekształcenia i aberracje chromosomowe",2024,1.48,"-",NA,NA
"136",0,"POLSKA","miasto","ogółem","objawy, cechy chorobowe i nieprawidłowe wyniki badań klinicznych i laboratoryjnych",2024,106.72,"-",NA,NA
"137",0,"POLSKA","miasto","ogółem","zewnętrzne przyczyny zgonu",2024,48.34,"-",NA,NA
"138",0,"POLSKA","miasto","ogółem","wypadki komunikacyjne",2024,5.72,"-",NA,NA
"139",0,"POLSKA","miasto","ogółem","samobójstwa",2024,10.68,"-",NA,NA
"140",0,"POLSKA","miasto","ogółem","brak przyczyny zgonu (opisu) w Karcie Statystycznej do Karty Zgonu",2024,3.39,"-",NA,NA
"141",0,"POLSKA","miasto","mężczyźni","ogółem",2024,1207.28,"-",NA,NA
"142",0,"POLSKA","miasto","mężczyźni","choroby zakaźne i pasożytnicze",2024,7.02,"-",NA,NA
"143",0,"POLSKA","miasto","mężczyźni","gruźlica",2024,2.14,"-",NA,NA
"144",0,"POLSKA","miasto","mężczyźni","nowotwory",2024,347.61,"-",NA,NA
"145",0,"POLSKA","miasto","mężczyźni","nowotwory złośliwe",2024,316.51,"-",NA,NA
"146",0,"POLSKA","miasto","mężczyźni","nowotwór złośliwy żołądka",2024,15.72,"-",NA,NA
"147",0,"POLSKA","miasto","mężczyźni","nowotwór złośliwy trzustki",2024,15.15,"-",NA,NA
"148",0,"POLSKA","miasto","mężczyźni","nowotwór złośliwy tchawicy, oskrzela i płuca",2024,78.39,"-",NA,NA
"149",0,"POLSKA","miasto","mężczyźni","nowotwór złośliwy sutka",2024,0.4,"-",NA,NA
"150",0,"POLSKA","miasto","mężczyźni","nowotwór złośliwy szyjki macicy",2024,0,"-",NA,NA
"151",0,"POLSKA","miasto","mężczyźni","nowotwór złośliwy gruczołu krokowego",2024,35.73,"-",NA,NA
"152",0,"POLSKA","miasto","mężczyźni","białaczka",2024,8.44,"-",NA,NA
"153",0,"POLSKA","miasto","mężczyźni","zaburzenia wydzielania wewnętrznego, stanu odżywiania i przemiany metabolicznej",2024,26.55,"-",NA,NA
"154",0,"POLSKA","miasto","mężczyźni","cukrzyca",2024,24.63,"-",NA,NA
"155",0,"POLSKA","miasto","mężczyźni","zaburzenia psychiczne i zaburzenia zachowania",2024,16.75,"-",NA,NA
"156",0,"POLSKA","miasto","mężczyźni","choroby układu nerwowego i narządów zmysłów",2024,21.04,"-",NA,NA
"157",0,"POLSKA","miasto","mężczyźni","choroba Alzheimera",2024,5.35,"-",NA,NA
"158",0,"POLSKA","miasto","mężczyźni","choroby układu krążenia",2024,391.99,"-",NA,NA
"159",0,"POLSKA","miasto","mężczyźni","choroba nadciśnieniowa",2024,26.2,"-",NA,NA
"160",0,"POLSKA","miasto","mężczyźni","choroba niedokrwienna serca",2024,182.37,"-",NA,NA
